o0000733	F103C
o0031630	F103D
o0000876	F103E
o0000877	F103F
o0000878	F1040
o0000880	F1041
o0000879	F1042
o0000881	F1043
o0000882	F1044
o0000883	F1045
o0000884	F1046
o0000885	F1047
o0000886	F1048
o0000887	F1049
o0000738	F104A
o0000739	F104B
o0187960	F104C
o0221861	F104D
o0000740	F104E
o0000741	F104F
o0018840	F1050
o0027925	F1051
o0221928	F1052
o0000742	F1053
o0000757	F1054
o0000758	F1055
o0000759	F1056
o0000763	F1057
o0000762	F1058
o0000761	F1059
o0000772	F105A
o0000773	F105B
o0000774	F105C
o0000780	F105D
o0027230	F105E
o0000791	F105F
o0027915	F1060
o0000792	F1061
o0000793	F1062
o0000794	F1063
o0000797	F1064
o0000798	F1065
o0031634	F1066
o0000799	F1067
o0000800	F1068
o0000801	F1069
o0000802	F106A
o0000803	F106B
o0000804	F106C
o0000805	F106D
o0000807	F106E
o0221929	F106F
o0000808	F1070
o0000809	F1071
o0027933	F1072
o0021769	F1073
o0176502	F1074
o0000810	F1075
o0000813	F1076
o0000811	F1077
o0000812	F1078
o0000814	F1079
o0031632	F107A
o0000815	F107B
o0000816	F107C
o0000818	F107D
o0000820	F107E
o0000819	F107F
o0000822	F1080
o0000823	F1081
o0000828	F1082
o0000829	F1083
o0000824	F1084
o0000826	F1085
o0000827	F1086
o0038077	F1087
o0000830	F1088
o0000831	F1089
o0000833	F108A
o0000834	F108B
o0000836	F108C
o0000837	F108D
o0000838	F108E
o0000840	F108F
o0000841	F1090
o0000842	F1091
o0000844	F1092
o0000866	F1093
o0000867	F1094
o0000868	F1095
o0031827	F1096
o0000857	F1097
o0000856	F1098
o0000854	F1099
o0000855	F109A
o0000858	F109B
o0000862	F109C
o0000872	F109D
o0000873	F109E
o0000875	F109F
o0000874	F10A0
o0000889	F10A1
o0000890	F10A2
o0000891	F10A3
o0000892	F10A4
o0000893	F10A5
o0000894	F10A6
o0000895	F10A7
o0000896	F10A8
o0000902	F10A9
o0000903	F10AA
o0000904	F10AB
o0000906	F10AC
o0000907	F10AD
o0000908	F10AE
o0027786	F10AF
o0000912	F10B0
o0000913	F10B1
o0000914	F10B2
o0000916	F10B3
o0000917	F10B4
o0000921	F10B5
o0000920	F10B6
o0000919	F10B7
o0000925	F10B8
o0000922	F10B9
o0000924	F10BA
o0000923	F10BB
o0031640	F10BC
o0031638	F10BD
o0031642	F10BE
o0000938	F10BF
o0221863	F10C0
o0000939	F10C1
o0000940	F10C2
o0027937	F10C3
o0000941	F10C4
o0000942	F10C5
o0027939	F10C6
o0031831	F10C7
o0027941	F10C8
o0000966	F10C9
o0000968	F10CA
o0031644	F10CB
o0000972	F10CC
o0000973	F10CD
o0000974	F10CE
o0022940	F10CF
o0000980	F10D0
o0021760	F10D1
o0000982	F10D2
o0000983	F10D3
o0000986	F10D4
o0000985	F10D5
o0000984	F10D6
o0000987	F10D7
o0000991	F10D8
o0000990	F10D9
o0000992	F10DA
o0022942	F10DB
o0000993	F10DC
o0000988	F10DD
o0022943	F10DE
o0000994	F10DF
o0000995	F10E0
o0000996	F10E1
o0022945	F10E2
o0221930	F10E3
o0000997	F10E4
o0000998	F10E5
o0001001	F10E6
o0001002	F10E7
o0001003	F10E8
o0027788	F10E9
o0001004	F10EA
o0002806	F10EB
o0001034	F10EC
o0001035	F10ED
o0001036	F10EE
o0001037	F10EF
o0001038	F10F0
o0001039	F10F1
o0037658	F10F2
o0187961	F10F3
o0001041	F10F4
o0001043	F10F5
o0001042	F10F6
o0001139	F10F7
o0001138	F10F8
o0001140	F10F9
o0001144	F10FA
o0001145	F10FB
o0001146	F10FC
o0001147	F10FD
o0001148	F10FE
o0001149	F10FF
o0001150	F1100
o0001151	F1101
o0031648	F1102
o0001153	F1103
o0001152	F1104
o0221932	F1105
o0221931	F1106
o0001049	F1107
o0001050	F1108
o0031586	F1109
o0001051	F110A
o0001053	F110B
o0001052	F110C
o0001054	F110D
o0001055	F110E
o0001056	F110F
o0001057	F1110
o0001058	F1111
o0001059	F1112
o0001061	F1113
o0001062	F1114
o0001063	F1115
o0001064	F1116
o0001067	F1117
o0001069	F1118
o0001068	F1119
o0001070	F111A
o0001071	F111B
o0001072	F111C
o0001073	F111D
o0001076	F111E
o0001074	F111F
o0001075	F1120
o0031830	F1121
o0031601	F1122
o0001047	F1123
o0001085	F1124
o0001087	F1125
o0001088	F1126
o0001089	F1127
o0001090	F1128
o0001127	F1129
o0001128	F112A
o0001129	F112B
o0001130	F112C
o0001131	F112D
o0001135	F112E
o0001134	F112F
o0018592	F1130
o0001137	F1131
o0021439	F1132
o0022913	F1133
o0001163	F1134
o0001165	F1135
o0001167	F1136
o0022950	F1137
o0001169	F1138
o0001171	F1139
o0001170	F113A
o0001172	F113B
o0001173	F113C
o0001175	F113D
o0001176	F113E
o0031653	F113F
o0001245	F1140
o0001277	F1141
o0001278	F1142
o0001279	F1143
o0023042	F1144
o0001281	F1145
o0221934	F1146
o0001284	F1147
o0001285	F1148
o0001282	F1149
o0001283	F114A
o0001298	F114B
o0027972	F114C
o0001187	F114D
o0221933	F114E
o0001191	F114F
o0001188	F1150
o0001190	F1151
o0001189	F1152
o0001184	F1153
o0001186	F1154
o0001192	F1155
o0001193	F1156
o0001194	F1157
o0001195	F1158
o0001198	F1159
o0001196	F115A
o0001197	F115B
o0001200	F115C
o0001202	F115D
o0001203	F115E
o0001204	F115F
o0001205	F1160
o0001206	F1161
o0001213	F1162
o0001208	F1163
o0001207	F1164
o0001209	F1165
o0001210	F1166
o0001211	F1167
o0001212	F1168
o0001214	F1169
o0001215	F116A
o0031652	F116B
o0001218	F116C
o0001219	F116D
o0001222	F116E
o0001220	F116F
o0001221	F1170
